DATE,TOTAL,GINI,DOW
2009-01-01,"[1872, 700, 452, 412, 389, 260, 204, 132, 102, 81, 61, 60, 49, 45, 37, 35, 34, 31, 30, 29, 11, 10, 5, 5, 3, 2, 0, 0, 0]",0.7495955051577359,3
2009-01-02,"[2019, 828, 470, 431, 388, 285, 244, 197, 98, 86, 72, 64, 55, 55, 46, 44, 37, 36, 33, 28, 11, 11, 7, 6, 6, 5, 2, 2, 0]",0.7426121649918841,4
2009-01-03,"[1862, 772, 440, 390, 318, 241, 224, 133, 97, 96, 88, 55, 52, 47, 44, 43, 39, 26, 26, 15, 12, 10, 9, 9, 4, 4, 3, 1, 0]",0.7451274362818592,5
2009-01-04,"[2048, 714, 396, 315, 302, 275, 237, 148, 94, 76, 69, 60, 51, 50, 49, 45, 37, 30, 28, 14, 10, 6, 5, 2, 2, 2, 1, 0, 0]",0.7561566630818031,6
2009-01-05,"[2230, 792, 469, 387, 338, 293, 287, 189, 111, 81, 80, 69, 56, 55, 53, 52, 40, 37, 32, 26, 11, 9, 9, 7, 6, 3, 2, 2, 0]",0.7454683416238091,0
2009-01-06,"[5134, 4072, 2349, 1509, 1388, 1279, 1062, 1035, 682, 441, 343, 262, 234, 222, 157, 154, 153, 96, 93, 46, 46, 43, 36, 27, 23, 16, 14, 5, 4]",0.7142850080336176,1
2009-01-07,"[4419, 3495, 2364, 1475, 1131, 1116, 972, 958, 556, 340, 295, 212, 212, 173, 154, 138, 120, 102, 64, 41, 36, 34, 34, 22, 18, 13, 10, 2, 1]",0.7178159987926283,2
2009-01-08,"[2633, 1304, 756, 685, 526, 521, 432, 408, 179, 145, 138, 98, 96, 79, 69, 48, 46, 35, 32, 25, 12, 12, 9, 9, 8, 7, 6, 0, 0]",0.7342779680128677,3
2009-01-09,"[3025, 2006, 917, 902, 638, 627, 595, 519, 335, 206, 187, 134, 117, 108, 97, 79, 78, 75, 55, 32, 23, 23, 21, 17, 14, 8, 8, 2, 0]",0.7151612246973859,4
2009-01-10,"[2128, 1060, 497, 464, 431, 386, 279, 232, 158, 108, 89, 66, 64, 51, 48, 46, 44, 43, 30, 20, 12, 11, 10, 9, 4, 4, 3, 1, 1]",0.7397014304405187,5
2009-01-11,"[4073, 2229, 1396, 1203, 830, 793, 705, 693, 402, 266, 247, 173, 148, 144, 106, 89, 88, 83, 60, 28, 26, 25, 22, 21, 14, 9, 8, 6, 4]",0.7225814779601776,6
2009-01-12,"[3725, 2486, 1344, 1146, 817, 771, 735, 675, 409, 241, 225, 172, 164, 161, 98, 98, 84, 84, 67, 32, 27, 26, 21, 20, 15, 7, 7, 6, 1]",0.7189241298554471,0
2009-01-13,"[3460, 1557, 1227, 924, 719, 665, 540, 494, 325, 175, 158, 131, 118, 102, 92, 80, 78, 73, 52, 30, 30, 28, 17, 14, 14, 8, 5, 0, 0]",0.72570758521423,1
2009-01-14,"[2846, 1464, 868, 707, 548, 496, 495, 433, 247, 141, 141, 117, 98, 88, 86, 65, 63, 54, 41, 22, 17, 14, 14, 12, 5, 4, 3, 3, 2]",0.7291355421915169,2
