DATE,TOTAL,GINI,DOW
2009-01-01,"[2667, 1014, 585, 452, 333]",0.4141754108097406,3
2009-01-02,"[2946, 1136, 604, 504, 376]",0.4148041681638519,4
2009-01-03,"[2647, 991, 604, 452, 366]",0.4032411067193676,5
2009-01-04,"[2609, 997, 630, 465, 365]",0.3963679431504145,6
2009-01-05,"[3005, 1127, 632, 564, 398]",0.4035626964722319,0
2009-01-06,"[12896, 4469, 1529, 1188, 843]",0.5235268817204302,1
2009-01-07,"[11139, 3947, 1432, 1126, 863]",0.5051710163721834,2
2009-01-08,"[4596, 1736, 777, 741, 468]",0.4448665544602068,3
2009-01-09,"[6374, 2253, 874, 818, 529]",0.4839601769911504,4
2009-01-10,"[3560, 1293, 565, 533, 348]",0.4561993967296396,5
2009-01-11,"[8437, 2882, 1079, 851, 642]",0.5074076740335469,6
2009-01-12,"[8022, 3022, 1109, 888, 623]",0.4956674473067915,0
2009-01-13,"[6469, 2383, 890, 785, 589]",0.4806765023389709,1
2009-01-14,"[5325, 1905, 729, 691, 444]",0.4827798548493512,2
2009-01-15,"[3280, 1166, 597, 511, 334]",0.4447690217391304,3
2009-01-16,"[2722, 963, 476, 398, 314]",0.4416991586291812,4
2009-01-17,"[3952, 1304, 659, 571, 391]",0.456885269739712,5
2009-01-18,"[6577, 2368, 897, 829, 527]",0.4871941418110376,6
2009-01-19,"[7148, 2570, 948, 865, 529]",0.4956218905472637,0
2009-01-20,"[4463, 1557, 653, 593, 356]",0.4816583573865127,1
2009-01-21,"[4576, 1613, 670, 589, 397]",0.4783683875079668,2
2009-01-22,"[3644, 1289, 575, 518, 337]",0.4642464246424642,3
2009-01-23,"[3474, 1136, 517, 504, 316]",0.4673280645703716,4
2009-01-24,"[3541, 1205, 561, 520, 348]",0.4580404858299595,5
2009-01-25,"[3633, 1331, 567, 552, 355]",0.4557315936626281,6
2009-01-26,"[4227, 1526, 614, 607, 376]",0.4691700680272108,0
2009-01-27,"[4584, 1555, 681, 622, 432]",0.469240538481077,1
2009-01-28,"[4242, 1433, 623, 622, 384]",0.4669769989047097,2
2009-01-29,"[4057, 1367, 639, 537, 368]",0.4711825487944891,3
2009-01-30,"[4323, 1506, 587, 556, 377]",0.481262756837665,4
2009-01-31,"[4136, 1381, 609, 575, 417]",0.4632762011801067,5
2009-02-01,"[3640, 1294, 553, 502, 328]",0.4695899952509101,6
2009-02-02,"[4902, 1743, 694, 605, 425]",0.4823515354283666,0
2009-02-03,"[4188, 1383, 618, 576, 384]",0.4708350818296266,1
2009-02-04,"[4070, 1332, 609, 595, 380]",0.4647580876037789,2
2009-02-05,"[4493, 1555, 646, 614, 418]",0.4706704633704374,3
2009-02-06,"[4340, 1499, 629, 604, 442]",0.4626563747671014,4
2009-02-07,"[3713, 1346, 586, 525, 359]",0.4612651248276919,5
2009-02-08,"[4580, 1498, 677, 602, 413]",0.4751608751608751,6
2009-02-09,"[4732, 1597, 665, 635, 397]",0.4800398704211313,0
2009-02-10,"[3769, 1395, 584, 539, 345]",0.4646562123039807,1
2009-02-11,"[4114, 1304, 578, 547, 358]",0.4792928561078104,2
2009-02-12,"[4323, 1562, 662, 631, 397]",0.4637887788778878,3
2009-02-13,"[3740, 1260, 557, 539, 333]",0.4688131902317623,4
2009-02-14,"[3728, 1301, 520, 499, 358]",0.4709334998438963,5
2009-02-15,"[4054, 1420, 614, 604, 401]",0.4580290427181728,6
2009-02-16,"[4796, 1676, 706, 644, 416]",0.4754552075746541,0
2009-02-17,"[3880, 1332, 585, 562, 398]",0.4578363178925558,1
2009-02-18,"[4250, 1450, 623, 618, 371]",0.4699124726477024,2
2009-02-19,"[4095, 1420, 624, 597, 398]",0.4607232968881413,3
2009-02-20,"[4166, 1475, 601, 577, 361]",0.473983286908078,4
2009-02-21,"[3810, 1290, 604, 544, 324]",0.469750456482045,5
2009-02-22,"[4014, 1426, 603, 557, 333]",0.4748882157796048,6
2009-02-23,"[3061, 1103, 524, 520, 370]",0.4277518823951237,0
2009-02-24,"[5514, 1870, 734, 688, 413]",0.4939364356220848,1
2009-02-25,"[3402, 1137, 547, 496, 327]",0.4597055339312912,2
2009-02-26,"[3899, 1406, 556, 534, 369]",0.4690715552927261,3
2009-02-27,"[4079, 1282, 558, 547, 324]",0.4857142857142857,4
2009-02-28,"[3649, 1213, 547, 475, 345]",0.4717290094718253,5
2009-03-01,"[3587, 1216, 537, 519, 325]",0.4670763260025873,6
2009-03-02,"[4506, 1605, 651, 646, 433]",0.4644815712281596,0
2009-03-03,"[4366, 1428, 602, 598, 379]",0.4776346127763461,1
2009-03-04,"[4106, 1426, 627, 570, 385]",0.466572954737138,2
2009-03-05,"[3569, 1192, 560, 554, 354]",0.4538770268100819,3
2009-03-06,"[2474, 859, 391, 381, 245]",0.4538850574712643,4
2009-03-07,"[3521, 1227, 570, 525, 333]",0.4584196891191709,5
2009-03-08,"[3669, 1235, 492, 491, 318]",0.48,6
2009-03-09,"[2953, 1066, 479, 434, 298]",0.4544550669216061,0
2009-03-10,"[3374, 1078, 487, 426, 318]",0.4760865739926095,1
2009-03-11,"[3934, 1419, 606, 567, 355]",0.4656299956401685,2
2009-03-12,"[3596, 1169, 502, 482, 342]",0.4725004104416352,3
2009-03-13,"[3805, 1235, 527, 515, 360]",0.4725240608506674,4
2009-03-14,"[2676, 910, 444, 416, 332]",0.433821682712432,5
2009-03-15,"[2509, 900, 425, 412, 271]",0.4395837945539075,6
2009-03-16,"[3723, 1227, 557, 498, 385]",0.4635367762128325,0
2009-03-17,"[3626, 1164, 493, 487, 334]",0.4758191349934469,1
2009-03-18,"[3677, 1230, 512, 505, 395]",0.4614021205887008,2
2009-03-19,"[4201, 1431, 622, 510, 373]",0.4807061790668347,3
2009-03-20,"[4094, 1338, 583, 473, 346]",0.4893766461808604,4
2009-03-21,"[3508, 1155, 495, 469, 334]",0.4720013420567019,5
2009-03-22,"[3408, 1162, 525, 460, 328]",0.4665646778854326,6
2009-03-23,"[4534, 1511, 634, 592, 403]",0.4785509512640084,0
2009-03-24,"[3194, 1110, 548, 488, 308]",0.4528328611898017,1
2009-03-25,"[3907, 1281, 533, 512, 350]",0.4789913413337384,2
2009-03-26,"[3851, 1385, 588, 554, 344]",0.4668253495983338,3
2009-03-27,"[3996, 1296, 583, 572, 329]",0.4756788665879575,4
2009-03-28,"[3415, 1112, 522, 459, 329]",0.4677060133630289,5
2009-03-29,"[3631, 1224, 542, 483, 338]",0.4713412672885172,6
2009-03-30,"[4464, 1630, 630, 626, 389]",0.4731360640909678,0
2009-03-31,"[4401, 1473, 577, 560, 377]",0.4851651326475366,1
2009-04-01,"[3991, 1300, 539, 537, 348]",0.4794638868205509,2
2009-04-02,"[4094, 1401, 533, 524, 344]",0.4859048723897911,3
2009-04-03,"[4061, 1269, 560, 512, 379]",0.4790443887332251,4
2009-04-04,"[3382, 1237, 511, 490, 288]",0.469532836831415,5
2009-04-05,"[3558, 1104, 486, 486, 305]",0.4798114160633103,6
2009-04-06,"[4530, 1519, 611, 584, 391]",0.4826719056974459,0
2009-04-07,"[4040, 1372, 567, 538, 349]",0.4786484124672298,1
2009-04-08,"[3871, 1281, 560, 525, 357]",0.4721868365180467,2
2009-04-09,"[3745, 1311, 555, 552, 321]",0.4692782233189389,3
2009-04-10,"[3663, 1282, 557, 544, 377]",0.4552389848980227,4
2009-04-11,"[3066, 1061, 465, 443, 340]",0.4517209302325581,5
2009-04-12,"[3417, 1179, 491, 483, 317]",0.4685578393069474,6
2009-04-13,"[4169, 1389, 614, 579, 397]",0.4674874090654729,0
2009-04-14,"[3780, 1236, 541, 540, 396]",0.4598182658247343,1
2009-04-15,"[3894, 1313, 571, 550, 354]",0.4695001496557917,2
2009-04-16,"[3977, 1496, 617, 548, 402]",0.4601136363636364,3
2009-04-17,"[3434, 1215, 596, 531, 359]",0.4455745721271394,4
2009-04-18,"[3369, 1127, 547, 499, 294]",0.4645647703906785,5
2009-04-19,"[3571, 1160, 556, 536, 374]",0.4529933838954333,6
2009-04-20,"[4420, 1452, 651, 585, 407]",0.4733466400532269,0
2009-04-21,"[3933, 1367, 596, 549, 400]",0.4607158509861213,1
2009-04-22,"[2980, 961, 434, 396, 267]",0.4756649464073044,2
2009-04-23,"[3102, 1122, 507, 456, 305]",0.4559359067734886,3
2009-04-24,"[4269, 1349, 573, 517, 395]",0.4831761227650288,4
2009-04-25,"[3445, 1123, 492, 466, 295]",0.4780621886273835,5
2009-04-26,"[3500, 1121, 514, 457, 353]",0.4681581160639192,6
2009-04-27,"[4333, 1520, 664, 630, 428]",0.4594059405940594,0
2009-04-28,"[3793, 1230, 564, 525, 370]",0.4659672940450478,1
2009-04-29,"[3630, 1225, 557, 534, 306]",0.4695457453614843,2
2009-04-30,"[3969, 1338, 576, 556, 349]",0.4727165586328816,3
2009-05-01,"[3753, 1299, 560, 528, 368]",0.4634910878918254,4
2009-05-02,"[3249, 1031, 479, 429, 306]",0.4723698580269385,5
2009-05-03,"[3663, 1275, 544, 518, 358]",0.4634790814721611,6
2009-05-04,"[4367, 1426, 618, 609, 382]",0.4748446365847068,0
2009-05-05,"[3812, 1198, 558, 508, 359]",0.4721678321678321,1
2009-05-06,"[2650, 838, 469, 361, 270]",0.4565823888404533,2
2009-05-07,"[4473, 1458, 589, 567, 346]",0.4921296919144357,3
2009-05-08,"[3842, 1252, 550, 506, 293]",0.4869781157845724,4
2009-05-09,"[3227, 1069, 462, 419, 292]",0.4768696288169684,5
2009-05-10,"[3093, 1086, 456, 446, 316]",0.4590698536223827,6
2009-05-11,"[4158, 1428, 646, 625, 389]",0.460447143251449,0
2009-05-12,"[3610, 1304, 545, 510, 367]",0.4595959595959595,1
2009-05-13,"[3558, 1275, 517, 507, 317]",0.4697116942014901,2
2009-05-14,"[3769, 1260, 561, 511, 338]",0.4728063363876378,3
2009-05-15,"[3716, 1193, 521, 498, 332]",0.4768690095846645,4
2009-05-16,"[3321, 1011, 483, 476, 299]",0.4707692307692308,5
2009-05-17,"[3694, 1266, 545, 500, 342]",0.4707735938238537,6
2009-05-18,"[4426, 1438, 638, 562, 409]",0.4769169008430349,0
2009-05-19,"[3678, 1210, 552, 551, 316]",0.4682416362771523,1
2009-05-20,"[3750, 1305, 592, 570, 359]",0.4572384428223844,2
2009-05-21,"[4155, 1468, 644, 560, 398]",0.4662698961937716,3
2009-05-22,"[3859, 1284, 605, 586, 373]",0.4574325331742955,4
2009-05-23,"[3159, 1097, 471, 463, 338]",0.4541244573082489,5
2009-05-24,"[3258, 1096, 508, 502, 298]",0.460190745319675,6
2009-05-25,"[3710, 1329, 565, 500, 364]",0.4651205936920222,0
2009-05-26,"[4370, 1460, 606, 587, 387]",0.4771390013495277,1
2009-05-27,"[4076, 1259, 637, 566, 376]",0.4682094301417414,2
2009-05-28,"[4507, 1596, 677, 612, 418]",0.4692445582586428,3
2009-05-29,"[3971, 1231, 611, 553, 345]",0.472656832066756,4
2009-05-30,"[3502, 1145, 509, 464, 321]",0.4741962632553442,5
2009-05-31,"[3373, 1177, 548, 511, 363]",0.4478231748158071,6
2009-06-01,"[4446, 1568, 656, 576, 378]",0.4789087093389297,0
2009-06-02,"[3844, 1239, 565, 548, 351]",0.4690392546204368,1
2009-06-03,"[4170, 1409, 627, 600, 394]",0.4645,2
2009-06-04,"[4270, 1398, 633, 545, 444]",0.4666666666666667,3
2009-06-05,"[3696, 1370, 575, 494, 373]",0.4623232944068838,4
2009-06-06,"[2389, 789, 441, 391, 257]",0.4370283571595968,5
2009-06-07,"[4069, 1472, 587, 564, 398]",0.465444287729196,6
2009-06-08,"[4396, 1533, 631, 630, 422]",0.4651077246452968,0
2009-06-09,"[4224, 1405, 615, 611, 329]",0.4779510022271715,1
2009-06-10,"[3834, 1296, 583, 568, 375]",0.4594951923076922,2
2009-06-11,"[3983, 1399, 629, 585, 357]",0.4640299151445419,3
2009-06-12,"[3511, 1272, 577, 536, 337]",0.4546125461254613,4
2009-06-13,"[3258, 1123, 489, 461, 335]",0.4594422873279209,5
2009-06-14,"[3319, 1129, 513, 465, 338]",0.4598195697432339,6
2009-06-15,"[4413, 1577, 670, 616, 439]",0.4619053791315619,0
2009-06-16,"[3889, 1314, 655, 585, 408]",0.4490439351919427,1
2009-06-17,"[3956, 1340, 598, 581, 377]",0.4621716287215411,2
2009-06-18,"[2766, 1105, 533, 478, 352]",0.4168895682078716,3
2009-06-19,"[2397, 877, 435, 412, 279]",0.4273636363636363,4
2009-06-20,"[2851, 982, 504, 470, 294]",0.441168398353264,5
2009-06-21,"[3266, 1188, 540, 449, 333]",0.4574099722991689,6
2009-06-22,"[4220, 1355, 645, 610, 393]",0.4651252941990862,0
2009-06-23,"[3664, 1339, 586, 571, 395]",0.4458276125095347,1
2009-06-24,"[3666, 1240, 626, 596, 380]",0.4435156730178242,2
2009-06-25,"[3753, 1377, 585, 572, 364]",0.4560517215456322,3
2009-06-26,"[4705, 1682, 621, 600, 412]",0.4821945137157107,4
2009-06-27,"[4270, 1427, 601, 590, 401]",0.4705720949375772,5
2009-06-28,"[3998, 1339, 631, 582, 393]",0.4589946708915455,6
2009-06-29,"[4977, 1793, 699, 684, 499]",0.4653259361997226,0
2009-06-30,"[3903, 1247, 570, 566, 378]",0.4640456182472989,1
2009-07-01,"[4076, 1351, 617, 563, 413]",0.4623361823361823,2
2009-07-02,"[2830, 978, 518, 452, 308]",0.4380652772316162,3
2009-07-03,"[2102, 754, 456, 389, 271]",0.4055387713997986,4
2009-07-04,"[4515, 1595, 664, 596, 395]",0.4759304571796522,5
2009-07-05,"[3623, 1355, 605, 486, 354]",0.4612797758056983,6
2009-07-06,"[5076, 1801, 721, 695, 460]",0.4724323089226551,0
2009-07-07,"[3814, 1427, 614, 606, 353]",0.4545347813325507,1
2009-07-08,"[3661, 1281, 622, 514, 365]",0.4568679186714264,2
2009-07-09,"[4119, 1405, 628, 617, 378]",0.46285154610326,3
2009-07-10,"[3760, 1310, 564, 544, 402]",0.4548328267477203,4
2009-07-11,"[3325, 1151, 481, 464, 318]",0.4670500087123193,5
2009-07-12,"[3662, 1243, 568, 493, 378]",0.4614123581336696,6
2009-07-13,"[3911, 1347, 648, 638, 365]",0.4516427847734839,0
2009-07-14,"[3991, 1371, 613, 596, 376]",0.4609183820354109,1
2009-07-15,"[3604, 1385, 616, 586, 400]",0.4373843119405249,2
2009-07-16,"[2883, 1094, 547, 513, 347]",0.4199851411589896,3
2009-07-17,"[2917, 1000, 539, 434, 292]",0.4489386337321497,4
2009-07-18,"[2492, 932, 444, 439, 267]",0.4322693484914736,5
2009-07-19,"[2554, 948, 450, 392, 279]",0.4417910447761194,6
2009-07-20,"[2642, 1052, 528, 513, 331]",0.4075009869719699,0
2009-07-21,"[2501, 871, 501, 444, 284]",0.4226037817865681,1
2009-07-22,"[2484, 959, 484, 447, 308]",0.4155489107219137,2
2009-07-23,"[2292, 934, 476, 431, 319]",0.3997304582210242,3
2009-07-24,"[2139, 762, 473, 416, 268]",0.4029571217348447,4
2009-07-25,"[1888, 706, 416, 320, 265]",0.4041168289290681,5
2009-07-26,"[1902, 694, 413, 358, 275]",0.3942888522789676,6
2009-07-27,"[2314, 772, 522, 432, 311]",0.3995403355550448,0
2009-07-28,"[2288, 858, 537, 458, 314]",0.3903928170594837,1
2009-07-29,"[2574, 916, 548, 412, 341]",0.4149446879565853,2
2009-07-30,"[2866, 979, 557, 440, 350]",0.4291987673343605,3
2009-07-31,"[2577, 892, 478, 468, 318]",0.4176632157194169,4
2009-08-01,"[2942, 1019, 581, 462, 327]",0.4342149690489589,5
2009-08-02,"[3116, 1047, 513, 468, 310]",0.454052071873854,6
2009-08-03,"[3312, 1205, 566, 550, 349]",0.4400534938147776,0
2009-08-04,"[3044, 1029, 533, 484, 283]",0.4516657360878467,1
2009-08-05,"[3424, 1195, 675, 568, 361]",0.4340671701751567,2
2009-08-06,"[3444, 1153, 576, 528, 315]",0.4576462765957446,3
2009-08-07,"[3208, 1121, 607, 517, 335]",0.4388389771941949,4
2009-08-08,"[2760, 977, 471, 439, 307]",0.4395639886960032,5
2009-08-09,"[3192, 1127, 572, 442, 305]",0.4582476055338773,6
2009-08-10,"[3804, 1286, 623, 598, 387]",0.4492087190206031,0
2009-08-11,"[3355, 1256, 584, 559, 416]",0.426256077795786,1
2009-08-12,"[3675, 1334, 618, 526, 395]",0.4500916310323763,2
2009-08-13,"[2773, 992, 513, 453, 332]",0.4282836263085127,3
2009-08-14,"[3980, 1312, 629, 538, 363]",0.4695397244209908,4
2009-08-15,"[2025, 786, 423, 370, 260]",0.4084886128364389,5
2009-08-16,"[3751, 1293, 561, 538, 372]",0.4612739831158864,6
2009-08-17,"[3769, 1361, 650, 593, 372]",0.4484507042253521,0
2009-08-18,"[3635, 1272, 579, 577, 340]",0.4550991722630017,1
2009-08-19,"[3361, 1232, 611, 554, 367]",0.4353306122448979,2
2009-08-20,"[4041, 1542, 665, 626, 390]",0.4525330396475771,3
2009-08-21,"[2990, 997, 569, 471, 320]",0.438825509631569,4
2009-08-22,"[3117, 1089, 547, 480, 366]",0.4365779603500625,5
2009-08-23,"[3190, 1169, 553, 520, 320]",0.4442976356050069,6
2009-08-24,"[3374, 1259, 618, 553, 382]",0.4325897187196896,0
2009-08-25,"[3450, 1119, 562, 557, 352]",0.4475496688741722,1
2009-08-26,"[3460, 1190, 589, 543, 371]",0.4436860068259386,2
2009-08-27,"[3109, 1131, 552, 539, 347]",0.4308559351884466,3
2009-08-28,"[3920, 1315, 596, 578, 335]",0.4689798339264531,4
2009-08-29,"[3887, 1344, 583, 544, 370]",0.4657550535077289,5
2009-08-30,"[3574, 1319, 586, 562, 396]",0.4420071461861115,6
